timestamp,altitude,azimuth,zenith,state
58141.27,0.002,0.034,0.018,MONITORING
58141.45,0.008,0.035,0.015,MONITORING
58141.64,0.003,0.035,0.014,MONITORING
58141.82,0.017,0.035,0.017,MONITORING
58142.0,0.012,0.035,0.027,MONITORING
58142.18,0.014,0.036,0.009,MONITORING
58142.37,0.013,0.036,0.021,MONITORING
58142.55,0.007,0.036,0.017,MONITORING
58142.73,0.002,0.036,0.022,MONITORING
58142.91,0.006,0.037,0.009,MONITORING
58143.82,0.019,0.037,0.009,MONITORING
58144.1,0.018,0.037,0.007,MONITORING
58144.19,0.022,0.037,0.015,MONITORING
58144.37,0.02,0.037,0.021,MONITORING
58144.55,0.03,0.037,0.015,MONITORING
58144.73,0.017,0.035,0.018,MONITORING
58144.92,0.01,0.034,0.019,MONITORING
58145.1,0.014,0.034,0.016,MONITORING
58145.28,0.01,0.034,0.017,MONITORING
58145.46,0.022,0.032,0.008,MONITORING
58145.65,0.024,0.033,0.012,MONITORING
58145.83,0.02,0.032,0.012,MONITORING
58146.1,0.022,0.032,0.007,MONITORING
58147.65,0.005,0.034,0.012,MONITORING
58147.83,0.012,0.036,0.02,MONITORING
58148.1,0.001,0.036,0.01,MONITORING
58148.2,0.006,0.036,0.013,MONITORING
58148.38,0.012,0.035,0.008,MONITORING
58148.56,0.029,0.035,0.02,MONITORING
58148.74,0.013,0.035,0.022,MONITORING
58148.92,0.038,0.035,0.028,MONITORING
58149.11,0.019,0.034,0.017,MONITORING
58149.29,0.018,0.035,0.016,MONITORING
58149.47,0.001,0.034,0.02,MONITORING
58149.65,0.003,0.035,0.014,MONITORING
58150.2,0.015,0.034,0.003,MONITORING
58150.38,0.001,0.035,0.026,MONITORING
58150.57,0.024,0.035,0.003,MONITORING
58150.75,0.006,0.037,0.015,MONITORING
58150.93,0.015,0.037,0.037,MONITORING
58151.11,0.009,0.037,0.015,MONITORING
58151.29,0.008,0.037,0.035,MONITORING
58151.48,0.015,0.037,0.027,MONITORING
58151.66,0.007,0.036,0.01,MONITORING
58151.84,0.002,0.036,0.019,MONITORING
58152.2,0.014,0.037,0.009,MONITORING
58152.21,0.004,0.037,0.019,MONITORING
58152.39,0.018,0.037,0.012,MONITORING
58152.57,0.026,0.038,0.013,MONITORING
58152.75,0.03,0.037,0.018,MONITORING
58152.93,0.03,0.036,0.02,MONITORING
58153.12,0.035,0.036,0.022,MONITORING
58153.3,0.026,0.036,0.018,MONITORING
58153.48,0.025,0.035,0.018,MONITORING
58153.66,0.022,0.035,0.013,MONITORING
58153.85,0.018,0.036,0.013,MONITORING
58154.3,0.016,0.037,0.017,MONITORING
58154.21,0.025,0.037,0.016,MONITORING
58154.39,0.024,0.037,0.012,MONITORING
58154.57,0.022,0.039,0.013,MONITORING
58154.76,0.026,0.037,0.015,MONITORING
58154.94,0.021,0.037,0.016,MONITORING
58155.12,0.022,0.038,0.015,MONITORING
58155.3,0.019,0.038,0.016,MONITORING
58155.49,0.013,0.038,0.013,MONITORING
58155.67,0.001,0.038,0.02,MONITORING
58155.85,0.001,0.038,0.016,MONITORING
58156.3,0.012,0.037,0.021,MONITORING
58157.49,0.014,0.034,0.013,MONITORING
58157.67,0.017,0.034,0.013,MONITORING
58157.85,0.023,0.035,0.017,MONITORING
58158.4,0.033,0.035,0.018,MONITORING
58158.22,0.03,0.035,0.021,MONITORING
58158.4,0.028,0.037,0.02,MONITORING
58158.58,0.032,0.038,0.019,MONITORING
58158.77,0.031,0.039,0.021,MONITORING
58158.95,0.03,0.039,0.022,MONITORING
58159.13,0.025,0.039,0.02,MONITORING
58159.31,0.027,0.04,0.021,MONITORING
58159.49,0.024,0.039,0.021,MONITORING
58168.24,0.005,0.036,0.015,MONITORING
58168.42,0.003,0.036,0.023,MONITORING
58168.61,0.0,0.036,0.017,MONITORING
58168.79,0.001,0.036,0.017,MONITORING
58168.97,0.001,0.036,0.018,MONITORING
58169.15,0.006,0.036,0.009,MONITORING
58169.33,0.004,0.035,0.012,MONITORING
58169.52,0.011,0.034,0.013,MONITORING
58169.7,0.013,0.033,0.014,MONITORING
58169.88,0.007,0.033,0.021,MONITORING
58170.6,0.008,0.033,0.01,MONITORING
58170.24,0.008,0.035,0.026,MONITORING
58170.43,0.013,0.035,0.021,MONITORING
58178.44,0.003,0.033,0.014,MONITORING
58178.63,0.007,0.033,0.017,MONITORING
58178.81,0.001,0.033,0.01,MONITORING
58178.99,0.007,0.032,0.013,MONITORING
58179.17,0.003,0.032,0.009,MONITORING
58179.36,0.006,0.034,0.012,MONITORING
58179.54,0.015,0.035,0.014,MONITORING
58179.72,0.002,0.035,0.021,MONITORING
58179.9,0.017,0.035,0.021,MONITORING
58180.8,0.011,0.035,0.014,MONITORING
58180.27,0.014,0.036,0.019,MONITORING
58186.46,0.018,0.035,0.017,MONITORING
58186.65,0.021,0.037,0.012,MONITORING
58186.83,0.021,0.035,0.009,MONITORING
58187.1,0.025,0.035,0.016,MONITORING
58187.19,0.019,0.034,0.011,MONITORING
58187.37,0.029,0.034,0.008,MONITORING
58187.56,0.024,0.034,0.018,MONITORING
58187.74,0.019,0.034,0.018,MONITORING
58187.92,0.022,0.033,0.009,MONITORING
